999,Labor & Employment; Servicemembers Initiative; ,Civil Rights Division; Civil Rights - Employment Litigation Section; ,17-825; 
1519,False Claims Act; ,Civil Division; USAO - District of Columbia; ,17-264; 
1520,Environment; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; Environment and Natural Resources Division; USAO - Michigan, Eastern; ",17-263; 
1521,Civil Rights; Hate Crimes; ,"Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - Florida, Middle; ",17-262; 
1522,Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Virginia, Eastern; ",17-260; 
1523,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Virginia, Eastern; ",17-259; 
1524,Tax; ,Tax Division; ,17-258; 
1525,Cyber Crime; ,"Criminal Division; USAO - Mississippi, Southern; ",17-257; 
1526,Violent Crime; ,Office of the Attorney General; Office of the Deputy Attorney General; ,17-256; 
1527,Civil Rights; Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - Minnesota; ,17-255; 
1528,Counterterrorism; ,National Security Division (NSD); USAO - Nevada; ,None
1529,Tax; ,Tax Division; ,17-254; 
1530,Antitrust; ,Antitrust Division; ,17-253; 
1531,Asset Forfeiture; Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Texas, Northern; ",17-252; 
1532,Cyber Crime; ,Criminal Division; USAO - Minnesota; ,17-251; 
1533,Tax; ,"Tax Division; USAO - Pennsylvania, Eastern; ",17-250; 
1534,Tax; ,"Tax Division; USAO - Louisiana, Western; ",17-249; 
1535,Tax; ,Tax Division; USAO - Nevada; ,17-247; 
1536,Health Care Fraud; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - California, Central; ",17-248; 
1537,Drug Trafficking; ,Criminal Division; Drug Enforcement Administration (DEA); ,17-246; 
1538,Financial Fraud; Tax; ,"Tax Division; USAO - Tennessee, Middle; ",17-245; 
1539,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Texas, Southern; ",17-244; 
1540,Civil Rights; ,"Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; USAO - Washington, Western; ",17-242; 
1541,"Securities, Commodities, & Investment Fraud; StopFraud; ","Criminal Division; Criminal - Criminal Fraud Section; USAO - Texas, Northern; ",17-243; 
1542,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - Minnesota; ,17-240; 
1543,Identity Theft; Tax; ,Tax Division; ,17-238; 
1544,None,Office of the Attorney General; ,17-237; 
1545,Tax; ,Tax Division; USAO - New Jersey; ,17-230; 
1546,Drug Trafficking; ,Office of Public Affairs; ,17-239; 
1547,Public Corruption; ,"Criminal Division; USAO - Arkansas, Western; ",17-241; 
1548,Project Safe Childhood; ,Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Massachusetts; ,17-235; 
1549,Health Care Fraud; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Michigan, Eastern; ",17-234; 
1550,Health Care Fraud; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Florida, Southern; ",17-236; 
1551,Tax; ,Tax Division; USAO - Idaho; ,17-233; 
1552,Civil Rights; ,Civil Rights Division; Civil Rights - Disability Rights Section; USAO - District of Columbia; ,17-232; 
1553,Opioids; Drug Trafficking; Firearms Offenses; ,"USAO - California, Southern; ",None
1554,Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Florida, Southern; ",17-231; 
1555,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - New York, Eastern; ",17-229; 
1556,Public Corruption; ,Criminal Division; ,17-228; 
1557,Violent Crime; ,Office of the Attorney General; ,17-227; 
1558,StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Michigan, Eastern; ",17-226; 
1559,Public Corruption; ,Criminal Division; ,17-225; 
1560,Health Care Fraud; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Florida, Southern; ",17-223; 
1561,Counterterrorism; ,"National Security Division (NSD); USAO - Virginia, Eastern; ",17-222; 
1562,Counterintelligence and Export Control; ,"National Security Division (NSD); USAO - Florida, Southern; ",17-221; 
1563,Environment; ,"Environment and Natural Resources Division; USAO - Louisiana, Western; ",17-219; 
1564,Civil Rights; Human Trafficking; ,"Civil Rights Division; Civil Rights - Criminal Section; USAO - Florida, Middle; ",17-217; 
1565,Tax; ,Tax Division; ,17-220; 
1566,Environment; ,Environment and Natural Resources Division; ,17-218; 
1567,Financial Fraud; StopFraud; ,Civil Division; ,17-216; 
1568,Civil Rights; Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - Kansas; ,17-215; 
1569,Civil Rights; ,Civil Rights Division; Civil Rights - Educational Opportunities Section; Office of the Attorney General; ,17-214; 
1570,Intellectual Property; ,Criminal Division; USAO - New Jersey; ,17-213; 
1571,Civil Rights; ,"Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - West Virginia, Northern; ",17-212; 
1572,Tax; ,Tax Division; ,17-211; 
1573,Tax; ,Tax Division; USAO - Kansas; ,17-210; 
1574,Tax; ,Tax Division; ,17-209; 
1575,Tax; ,"Tax Division; USAO - Texas, Northern; ",17-208; 
1576,Environment; Wildlife; ,"Environment and Natural Resources Division; USAO - New York, Southern; ",17-207; 
1577,Civil Rights; ,"Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; USAO - Michigan, Eastern; ",17-206; 
1578,Tax; ,Tax Division; ,17-205; 
1579,Identity Theft; Tax; ,"Tax Division; USAO - Louisiana, Eastern; ",17-204; 
1580,Consumer Protection; ,Civil Division; ,17-203; 
1581,Counterterrorism; ,"National Security Division (NSD); USAO - Missouri, Western; ",17-202; 
1582,Identity Theft; Tax; ,Tax Division; USAO - District of Columbia; ,17-201; 
1583,Consumer Protection; ,"Civil Division; USAO - North Carolina, Western; ",17-199; 
1584,Counterterrorism; ,"National Security Division (NSD); USAO - Wisconsin, Western; ",17-200; 
1585,Counterterrorism; ,"National Security Division (NSD); USAO - Virginia, Eastern; ",17-198; 
1586,Environment; ,Environment and Natural Resources Division; ,17-197; 
1587,Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Texas, Southern; ",17-196; 
1588,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - Idaho; ,17-195; 
1589,Cyber Crime; Identity Theft; ,Criminal Division; USAO - New Jersey; ,17-193; 
1590,Civil Rights; ,"Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - Tennessee, Eastern; ",17-194; 
1591,None,Criminal Division; National Security Division (NSD); USAO - Kansas; ,17-192; 
1592,Identity Theft; Tax; ,Tax Division; USAO - Oregon; ,17-191; 
1593,Tax; ,"Tax Division; USAO - Florida, Middle; ",17-190; 
1594,Public Corruption; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - California, Southern; ",17-189; 
1595,Consumer Protection; ,"Civil Division; USAO - Louisiana, Western; ",17-188; 
1596,Tax; ,"Tax Division; USAO - Washington, Eastern; ",17-187; 
1597,Health Care Fraud; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - New York, Eastern; ",17-186; 
1598,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; ,17-185; 
1599,Identity Theft; Tax; ,"Tax Division; USAO - California, Northern; ",None
1600,Counterterrorism; ,"National Security Division (NSD); USAO - California, Central; ",17-183; 
1601,Tax; ,"Tax Division; USAO - Georgia, Middle; ",17-182; 
1602,None,Office of the Attorney General; ,17-180; 
1603,Civil Rights; ,"Civil Rights Division; USAO - Louisiana, Western; ",17-181; 
1604,Tax; ,"Tax Division; USAO - California, Northern; ",17-179; 
1605,Violent Crime; ,"Criminal Division; USAO - North Carolina, Eastern; ",17-178; 
1606,Tax; ,"Tax Division; USAO - Pennsylvania, Eastern; ",17-177; 
1607,None,Office of the Attorney General; ,17-176; 
1608,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Eastern; ",17-175; 
1609,Tax; ,"Tax Division; USAO - Virginia, Eastern; ",17-174; 
1610,Counterterrorism; ,"National Security Division (NSD); USAO - Virginia, Eastern; ",17-173; 
1611,None,Office of the Attorney General; ,17-172; 
1612,Identity Theft; Tax; ,"Tax Division; USAO - Missouri, Eastern; ",17-171; 
1613,Civil Rights; ,"Civil Rights Division; Civil Rights - Criminal Section; USAO - Oklahoma, Western; ",17-170; 
1614,Identity Theft; Tax; ,"Tax Division; USAO - Illinois, Northern; ",17-169; 
1615,Antitrust; ,Antitrust Division; ,17-168; 
1616,Identity Theft; Tax; ,"Tax Division; USAO - Illinois, Northern; ",17-166; 
1617,Counterintelligence and Export Control; National Security; ,National Security Division (NSD); USAO - Maryland; ,17-165; 
1618,Counterterrorism; ,National Security Division (NSD); USAO - Arizona; ,17-163; 
1619,Tax; ,Tax Division; ,17-161; 
1620,Antitrust; ,Antitrust Division; ,17-162; 
1621,Public Corruption; ,"Civil Rights - Criminal Section; USAO - Florida, Middle; ",17-163; 
1622,Project Safe Childhood; ,Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Delaware; ,None
1623,Hate Crimes; ,"Civil Rights Division; Civil Rights - Criminal Section; USAO - Florida, Middle; ",17-160; 
1624,Identity Theft; Tax; ,"Tax Division; USAO - California, Northern; ",17-159; 
1625,Cyber Crime; Financial Fraud; Identity Theft; ,"Criminal Division; USAO - Mississippi, Southern; ",17-158; 
1626,Civil Rights; Hate Crimes; ,Civil Rights Division; Civil Rights - Criminal Section; USAO - Idaho; ,17-157; 
1627,Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - North Carolina, Western; ",17-156; 
1628,None,Criminal Division; ,17-155; 
1629,Intellectual Property; ,"Criminal Division; USAO - Texas, Southern; ",17-150; 
1630,Antitrust; ,Antitrust Division; ,17-154; 
1631,Civil Rights; ,Civil Rights Division; Civil Rights - Disability Rights Section; ,17-153; 
1632,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - Illinois, Northern; ",17-151; 
1633,Cyber Crime; Identity Theft; ,Criminal Division; USAO - New Hampshire; ,17-151; 
1634,Civil Rights; ,"Civil Rights Division; Civil Rights - Criminal Section; USAO - Florida, Southern; ",17-149; 
1635,Civil Rights; ,"Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - Mississippi, Northern; ",17-147; 
1636,Civil Rights; ,"Civil Rights Division; Civil Rights - Criminal Section; Federal Bureau of Investigation (FBI); USAO - North Carolina, Middle; ",17-146; 
1637,Antitrust; ,Antitrust Division; ,17-148; 
1638,Consumer Protection; ,Civil Division; ,17-145; 
1639,Civil Rights; Immigration; ,Civil Rights Division; Civil Rights - Immigrant and Employee Rights Section; ,17-144; 
1640,Elder Justice; Financial Fraud; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - North Carolina, Western; ",17-143; 
1641,Human Trafficking; Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - Texas, Southern; ",17-140; 
1642,Health Care Fraud; ,Criminal Division; Criminal - Criminal Fraud Section; ,17-142; 
1643,Consumer Protection; ,"Civil Division; USAO - Florida, Southern; ",17-140; 
1644,Public Corruption; ,"Criminal Division; USAO - New York, Western; ",17-139; 
1645,Tax; ,Tax Division; ,17-138; 
1646,Counterterrorism; ,"National Security Division (NSD); USAO - Florida, Southern; ",17-137; 
1647,Consumer Protection; ,Civil Division; USAO - South Dakota; ,17-136; 
1648,Tax; ,"Tax Division; USAO - Georgia, Northern; ",17-135; 
1649,Tax; ,"Tax Division; USAO - California, Central; ",17-134; 
1650,Public Corruption; ,"Criminal Division; USAO - Louisiana, Middle; ",17-133; 
1651,Civil Rights; ,Civil Rights Division; Civil Rights - Educational Opportunities Section; ,17-132; 
1652,None,Office of the Attorney General; ,17-131; 
1653,Environment; ,Environment and Natural Resources Division; USAO - District of Columbia; ,17-127; 
1654,Firearms Offenses; ,Criminal Division; USAO - Kansas; ,17-126; 
1655,Violent Crime; ,Criminal Division; USAO - South Carolina; ,17-130; 
1656,Asset Forfeiture; Prescription Drugs; Tax; ,"Tax Division; USAO - Ohio, Southern; ",17-129; 
1657,Counterterrorism; ,"National Security Division (NSD); USAO - Pennsylvania, Middle; ",17-128; 
1658,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - New York, Eastern; ",17-125; 
1659,Firearms Offenses; Violent Crime; ,"Criminal Division; USAO - Virginia, Eastern; ",17-124; 
1660,Tax; ,"Tax Division; USAO - West Virginia, Southern; ",17-122; 
1661,Antitrust; ,Antitrust Division; ,17-121; 
1662,Opioids; Civil Rights; Human Trafficking; ,Civil Rights Division; Civil Rights - Criminal Section; USAO - New Hampshire; ,17-120; 
1663,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Western; ",17-119; 
1664,Health Care Fraud; StopFraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Louisiana, Eastern; ",17-118; 
1665,"Financial Fraud; Securities, Commodities, & Investment Fraud; StopFraud; ","Criminal Division; Criminal - Criminal Fraud Section; USAO - Virginia, Eastern; ",17-116; 
1666,Tax; ,Tax Division; ,17-117; 
1667,Identity Theft; Tax; ,"Tax Division; USAO - California, Northern; ",17-114; 
1668,Identity Theft; Tax; ,"Tax Division; USAO - Illinois, Northern; ",17-113; 
1669,Tax; ,Tax Division; ,17-115; 
1670,Drug Trafficking; Violent Crime; ,Criminal Division; ,17-112; 
1671,Firearms Offenses; Violent Crime; ,Criminal Division; ,17-110; 
1672,Tax; ,"Tax Division; USAO - Pennsylvania, Eastern; ",17-111; 
1673,Tax; ,Tax Division; ,17-109; 
1674,Tax; ,Tax Division; ,17-108; 
1675,False Claims Act; ,"Civil Division; USAO - Washington, Eastern; ",17-107; 
1676,Tax; ,Tax Division; ,17-105; 
1677,Antitrust; ,Antitrust Division; ,17-106; 
1678,Opioids; Violent Crime; Drug Trafficking; Firearms Offenses; ,"Criminal Division; USAO - Florida, Southern; USAO - New York, Southern; ",17-104; 
1679,None,Office of Public Affairs; ,17-103; 
1680,None,Office of Public Affairs; ,17-102; 
1681,Foreign Corruption; ,Criminal Division; Criminal - Criminal Fraud Section; ,17-101; 
1682,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Eastern; ",17-100; 
1683,Opioids; ,Office of the Deputy Attorney General; ,17-099; 
1684,Environment; ,Environment and Natural Resources Division; ,17-096; 
1685,None,Office of the Deputy Attorney General; ,17-098; 
1686,Opioids; Prescription Drugs; ,"Drug Enforcement Administration (DEA); USAO - California, Central; USAO - California, Eastern; USAO - Michigan, Eastern; USAO - Washington, Eastern; USAO - Washington, Western; ",17-097; 
1687,Environment; ,Environment and Natural Resources Division; ,17-095; 
1688,Asset Forfeiture; ,"Criminal Division; USAO - California, Central; USAO - Florida, Southern; USAO - Pennsylvania, Eastern; USAO - Pennsylvania, Middle; ",17-094; 
1689,Environment; ,Environment and Natural Resources Division; ,17-093; 
1690,Environment; ,Environment and Natural Resources Division; ,17-086; 
1691,None,"Criminal Division; USAO - Michigan, Eastern; ",17-092; 
1692,Consumer Protection; ,Civil Division; ,17-087; 
1693,Tax; ,Tax Division; ,17-090; 
1694,Intellectual Property; ,Criminal Division; USAO - Nevada; ,17-089; 
1695,Antitrust; ,Antitrust Division; ,17-088; 
1696,"Financial Fraud; Securities, Commodities, & Investment Fraud; StopFraud; ",Criminal Division; Criminal - Criminal Fraud Section; USAO - Massachusetts; ,17-084; 
1697,Office and Personnel Updates; ,Office of the Associate Attorney General; Office of the Attorney General; ,17-091; 
1698,"Financial Fraud; Mortgage Fraud; Securities, Commodities, & Investment Fraud; StopFraud; ",Civil Division; Office of the Associate Attorney General; USAO - Colorado; ,17-085; 
1699,Environment; Indian Country Law and Justice; ,Environment and Natural Resources Division; ,17-081; 
1700,Identity Theft; Tax; ,"Tax Division; USAO - Illinois, Northern; ",17-083; 
1701,Violent Crime; ,Criminal Division; ,16-082; 
1702,Environment; ,Environment and Natural Resources Division; ,17-080; 
1703,Tax; ,"Tax Division; USAO - Virginia, Eastern; ",17-079; 
1704,Opioids; Prescription Drugs; ,"Criminal Division; Drug Enforcement Administration (DEA); USAO - California, Central; USAO - California, Eastern; USAO - Colorado; USAO - Florida, Middle; USAO - Illinois, Northern; USAO - Kentucky, Eastern; USAO - Massachusetts; USAO - Michigan, Eastern; USAO - Nebraska; USAO - New Jersey; USAO - West Virginia, Northern; USAO - Wisconsin, Western; ",17-078; 
1705,Counterterrorism; ,"National Security Division (NSD); USAO - Florida, Middle; ",17-76; 
1706,Civil Rights; ,Civil Rights Division; Civil Rights - Immigrant and Employee Rights Section; USAO - Guam & Northern Mariana Islands; ,17-075; 
1707,Foreign Corruption; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Ohio, Southern; ",17-074; 
1708,"Financial Fraud; Mortgage Fraud; Securities, Commodities, & Investment Fraud; StopFraud; ","Civil Division; Office of the Associate Attorney General; USAO - New York, Eastern; ",17-077; 
1709,Antitrust; ,Antitrust Division; ,17-073; 
1710,Antitrust; ,Antitrust Division; ,17-072; 
1711,Financial Fraud; Mortgage Fraud; StopFraud; ,Civil Division; USAO - New Jersey; ,17-070; 
1712,Civil Rights; StopFraud; ,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,17-071; 
1713,Opioids; Violent Crime; Drug Trafficking; ,"Criminal Division; USAO - Texas, Western; ",17-066; 
1714,Antitrust; ,Antitrust Division; ,17-069; 
1715,False Claims Act; Health Care Fraud; ,Civil Division; USAO - Massachusetts; ,17-067; 
1716,Environment; ,Environment and Natural Resources Division; ,17-068; 
1717,Foreign Corruption; ,Criminal Division; Criminal - Criminal Fraud Section; ,17-065; 
1718,Environment; ,Environment and Natural Resources Division; ,17-061; 
1719,Grants; ,Office on Violence Against Women; ,17-064; 
1720,Project Safe Childhood; ,"Civil Rights - Criminal Section; Criminal - Child Exploitation and Obscenity Section; USAO - Virginia, Eastern; ",17-063; 
1721,Consumer Protection; Financial Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Michigan, Eastern; ",17-060; 
1722,Civil Rights; ,Civil Rights Division; Civil Rights - Criminal Section; USAO - South Carolina; ,17-062; 
1723,Office and Personnel Updates; ,Office of the Attorney General; USAO - Arizona; ,17-056; 
1724,Antitrust; ,Antitrust Division; ,17-059; 
1725,Civil Rights; ,"Civil Rights Division; Civil Rights - Special Litigation Section; Office of the Attorney General; USAO - Illinois, Northern; ",17-057; 
1726,Public Corruption; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - California, Southern; ",17-053; 
1727,Opioids; Office and Personnel Updates; ,"Office of the Attorney General; USAO - Alabama, Northern; ",17-054; 
1728,Consumer Protection; False Claims Act; Health Care Fraud; ,"Civil Division; USAO - North Carolina, Western; ",17-052; 
1729,Project Safe Childhood; ,"Criminal Division; Criminal - Child Exploitation and Obscenity Section; USAO - North Carolina, Western; ",17-047; 
1730,None,Office of the Attorney General; ,17-051; 
1731,Health Care Fraud; ,"Criminal Division; Criminal - Criminal Fraud Section; USAO - Texas, Southern; ",17-050; 
1732,Civil Rights; ,Civil Rights Division; ,17-49; 
1733,Antitrust; ,Antitrust Division; ,17-047; 
1734,Civil Rights; ,"Civil Rights Division; Civil Rights - Voting Section; USAO - New York, Eastern; ",17-048; 
1735,Environment; ,"Environment and Natural Resources Division; USAO - North Carolina, Eastern; ",17-043; 
1736,Foreign Corruption; ,Criminal Division; Criminal - Criminal Fraud Section; Criminal Investigative Division (FBI); ,17-045; 
1737,Civil Rights; ,Civil Rights Division; Civil Rights - Special Litigation Section; Office of the Attorney General; ,17-042; 
1738,Tax; ,Tax Division; ,17-043; 
1739,Tax; ,Tax Division; USAO - Montana; ,17-041; 
1740,Tax; ,Tax Division; ,17-040; 
1741,None,Office of the Attorney General; ,17-038; 
1742,None,Civil Division; Criminal Division; Environment and Natural Resources Division; Office of the Attorney General; ,17-037; 
1743,False Claims Act; Health Care Fraud; ,"Civil Division; USAO - District of Columbia; USAO - Florida, Middle; USAO - Pennsylvania, Eastern; USAO - Tennessee, Middle; ",17-035; 
1744,Civil Rights; ,"Civil Rights Division; Civil Rights - Voting Section; USAO - Michigan, Eastern; ",17-033; 
1745,Civil Rights; Hate Crimes; ,Office of the Attorney General; ,17-031; 
1746,Counterterrorism; ,"National Security Division (NSD); USAO - New York, Eastern; ",17-32; 
1747,None,"Criminal Division; USAO - New York, Southern; ",17-029; 
1748,Antitrust; ,Antitrust Division; ,17-030; 
